,Unnamed: 0,date,title,url,count
0,0,20200120," 문 대통령 ""우리 경제 반등 징후…규제혁신 속도 내겠다""",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=015&aid=0004276754,2091
1,1,20200120, 靑균형인사비서관에 ‘조국 측근’ 김미경 변호사(종합),https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=018&aid=0004559113,436
2,2,20200120," 文대통령, “새해, 경제 반등 징후…‘민생경제 희망’ 다행”",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=020&aid=0003265299,1488
11,11,20200120," 새해 첫 수보회의서 文대통령 ""경제 반등 징후 보여""(종합)",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=003&aid=0009662914,380
14,14,20200120," 문 대통령 ""경제 반등 징후 보여…수출호조·경제심리 회복 중""(종합)",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=001&aid=0011347348,436
18,18,20200120," 문 대통령, 균형인사비서관 '조국 보좌관 출신' 김미경 임명(종합)",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=001&aid=0011347313,380
62,62,20200120," 문 대통령, “새해 우리 경제 나아지고 있어” 낙관론",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=005&aid=0001280039,426
63,63,20200120," 文대통령 ""경제 나아지고 반등…긍정 흐름 적극 살릴 것""",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=003&aid=0009662493,1308
64,64,20200120," 문 대통령 ""경제 반등 징후 보여…수출호조·경제심리 회복 중""",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=001&aid=0011346913,3170
65,65,20200120," 文대통령 ""경제, 새해 들어 반등…수출 호조세""",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=277&aid=0004609147,539
66,66,20200120, [속보] 文대통령 “새해 우리경제 반등 징후…정부 역량집중 등 성과”,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=016&aid=0001626242,8334
67,67,20200120," 文대통령 ""새해 들어 반등 징후…'민생경제 희망' 무척 다행""",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=421&aid=0004417969,623
68,68,20200120, 文대통령 “경제 반등 징후…2월부턴 수출 증가 전환할 것”,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=018&aid=0004558824,480
106,106,20200120, 총선에도 꿈쩍 않는 文지기 참모들 누군지 살펴보니…,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=015&aid=0004276405,766
107,107,20200120," 검찰 ""백원우, 박형철에 '유재수 봐주는 건 어떻겠느냐' 제안""",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=001&aid=0011345948,1042
113,113,20200120," 文대통령 지지율, 부정 50% 넘어…핵심 지지층 '30대' 이탈",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=003&aid=0009661126,1921
123,123,20200121, 신임 공무원들 만난 文대통령 “올해는 더욱 분명한 성과 내야”,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=020&aid=0003265578,926
129,129,20200121," ""美 드론 작전에 세계 깜짝 놀라""... 文대통령, 鄭국방에 드론 전력 물었다",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=023&aid=0003502270,2519
145,145,20200121, 文대통령 “검찰개혁 큰 획..경찰 권한도 분산돼야“(종합),https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=018&aid=0004559901,733
215,215,20200121, 문 대통령의 파병 결단…한미동맹 넘어 남북관계까지 고려한 듯,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=001&aid=0011349953,1108
230,230,20200121," [단독] ""檢, 특별수사단 설치시 장관 승인 받아라""···국무회의 의결",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=011&aid=0003683790,1021
239,239,20200121," 文대통령, '檢 상갓집 충돌' 우려…정치적 중립성 재강조",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=003&aid=0009664335,4339
267,267,20200121," 진중권, 文대통령 정면겨냥…“공직수행 적합한지 회의”",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=016&aid=0001626684,456
273,273,20200121, 문 대통령 “경찰 권한도 민주적으로 분산돼야…통합경찰법 신속한 국회 처리 당부”,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=032&aid=0002987303,437
274,274,20200121," 文대통령 ""檢개혁 큰 획…통합경찰법·국정원법도 처리돼야""",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=421&aid=0004419476,396
275,275,20200121," 文 ""악마는 디테일에···공수처 시행 차질 없어야""",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=011&aid=0003683681,567
278,278,20200121," 문대통령 ""檢개혁법, 악마는 디테일에…객관·중립성 확보해야""",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=001&aid=0011348771,2867
350,350,20200121," ""마음의 빚"" 언급한 文, 균형인사비서관에 '조국 복심' 김미경 임명",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=079&aid=0003313851,1144
352,352,20200121," 정부, 오늘 각의서 서울·평양 올림픽 유치 추진계획 의결",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=001&aid=0011347905,1124
358,358,20200121, 文대통령 “경제 반등하는 징후들 보여”,https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=020&aid=0003265373,1094
372,372,20200122," 靑 ""조국 아들, 인턴 활동했다"" vs 진중권 ""왜 최강욱 아닌 청와대가 해명하나""",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=015&aid=0004278177,3565
384,384,20200122," ""허접한 수사""·""비열한 언론플레이""…청, 검찰에 이례적 '맹공'",https://news.naver.com/main/read.nhn?mode=LS2D&mid=shm&sid1=100&sid2=264&oid=001&aid=0011353242,655
